Название,Цена,Рейтинг,Количество отзывов,Страна,Гарантия,Операционная система,Потребляемая мощность,Диагональ,Технология,Разрешение экрана,Поддержка HDR,Воспроизведение видео через USB,Smart TV,Управление,Таймер выключения,Часы,Защита от детей,Телетекст,Функция TimeShift,Запись телепередач (PVR),Разъем для модуля DVB CAM (слот CI),Стандарт VESA,Смартфон в качестве пульта ДУ,Пульт ДУ,Технология HDMI ARC,Цифровое шумоподавление,Поддерживаемые цифровые стандарты,Тип звуковой системы,Суммарная мощность,Композитный вход,Аудиовход RCA,Компонентный,Аудиовыход RCA,HDMI,Версия HDMI,Вход для ПК,Коаксиальный аудиовыход,Оптический аудиовыход,Оптический аудиовход,Выход для наушников,USB,Количество разъемов USB,Ethernet (LAN),Bluetooth,Wi-Fi,Вход 3.5 мм аудио,Вход 3.5 мм аудио/видео,Выход 3.5 мм аудио,Выход 3.5 мм аудио/видео,Подставка,Высота с подставкой,Ширина с подставкой,Глубина с подставкой,Высота,Ширина,Глубина,Вес с подставкой,Вес без подставки,Цвет,Формат,Цветовая система,Кол-во встроенных динамиков,Мощность,Вес,Контрастность,Коаксиальный аудиовход,Версия ОС на начало продаж,Яркость,Объем встроенной памяти,Объем оперативной памяти,Частота обновления,Угол обзора по вертикали,Угол обзора по горизонтали,Время отклика,Таймер включения,Любимые каналы,Масштабирование,Тип матрицы,Технологии улучшения изображения,Тип светодиодной подсветки,Объемное звучание,Эквалайзер,Акустическая схема,Гид по программам,Модель процессора,Количество ядер процессора,Производитель процессора,Автоматическая регулировка громкости,eARC,Батарейки для пульта ДУ,Поддерживаемые форматы,NFC,Композитный выход,Родительский контроль,Количество тюнеров,Слот для карт памяти,Динамическая контрастность,Технологии улучшения звука,Подсветка Ambilight,Картинка в картинке (PIP),Встроенный DVD-плеер,Встроенный сабвуфер,Мощность сабвуфера
Характеристики Haier 55 Smart TV S7 DH1VMED01RU,59 999 р.,,,Китай,1 год,Android TV,250 Вт,"55"" (139.7 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,,Есть,,Есть,Есть,"DVB-C, DVB-T, DVB-S2, DVB-T2 ","Dolby Atmos, dbx-tv, Simulated Surround Sound",26 Вт,Есть,Есть,,Есть,4 ,2.1,,,Есть,Есть,Есть,Есть ,2,Есть ,Есть,Есть ,1,1,1,1,Есть ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Витязь 24LH0201",4 999 р.,5,670,Беларусь,1 год,,,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,1 ,1.4,Есть,Есть,,,Есть,,1,,,,,,,,Есть ,,,,37.5 см,56 см,16 см,,,Черный ,16:9,"PAL, SECAM",2 ,2x3 Вт,2.5 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hi VHIX-40F152MSY",10 999 р.,4,251,Беларусь,1 год,Яндекс.ТВ,68 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,,,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,1 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,60.4 см,98.8 см,19.2 см,,,Черный ,16:9,"PAL, SECAM",2 ,8 Вт,7 кг,1200:1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Artel UA32H3200",14 999 р.,5,148,Узбекистан,1 год,Android TV,45 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,Есть ,Голосом ,,,,,,Есть,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,,,1 ,,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,47.71 см,73.23 см,18.12 см,43.99 см,73.23 см,8.5 см,,,,16:9,"PAL, SECAM",2 ,20 Вт,,1000:1,,9.0,240 кд/м² ,8 ГБ,1.5 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Haier 65 Smart TV AX Pro",59 999 р.,5,73,Китай,1 год,Android TV,150 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,26 Вт,Есть,Есть,Есть,,4 ,2.1,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,13 Вт,,5000:1,,11.0,350 кд/м² ,,,60 Гц ,176 °,176 ° ,8 мс,Есть,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 24"" Витязь 24LH0201",4 999 р.,5,669,Беларусь,1 год,,,"24"" (61 см) ",LED ,1366x768 Пикс (HD-Ready) ,,Есть ,,,Есть,Есть ,Есть,Есть ,,,Есть,100x100 ,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",Dolby Digital Plus,,,Есть,Есть,,1 ,1.4,Есть,Есть,,,Есть,,1,,,,,,,,Есть ,,,,37.5 см,56 см,16 см,,,Черный ,16:9,"PAL, SECAM",2 ,2x3 Вт,2.5 кг,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 40"" Hi VHIX-40F152MSY",10 999 р.,4,252,Беларусь,1 год,Яндекс.ТВ,68 Вт,"40"" (101.6 см) ",LED ,1920x1080 Пикс (Full HD) ,,Есть ,Есть ,,Есть,Есть ,Есть,Есть ,,,,,,Есть,,Есть,"DVB-C, DVB-S2, DVB-T2 ",Dolby Digital,,,,Есть,,1 ,,,Есть,,,Есть,Есть ,2,Есть ,,Есть ,,,,,Есть ,,,,60.4 см,98.8 см,19.2 см,,,Черный ,16:9,"PAL, SECAM",2 ,8 Вт,7 кг,1200:1,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LED телевизор 32"" Artel UA32H3200",14 999 р.,5,148,Узбекистан,1 год,Android TV,45 Вт,"32"" (81.3 см) ",LED ,1366x768 Пикс (HD-Ready) ,,,Есть ,Голосом ,,,,,,Есть,Есть,,,Есть,,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",,,Есть,,,,1 ,,,,Есть,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,Есть ,47.71 см,73.23 см,18.12 см,43.99 см,73.23 см,8.5 см,,,,16:9,"PAL, SECAM",2 ,20 Вт,,1000:1,,9.0,240 кд/м² ,8 ГБ,1.5 ГБ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) QLED телевизор 65"" Haier 65 Smart TV AX Pro",59 999 р.,5,73,Китай,1 год,Android TV,150 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,Есть ,Есть,,Есть,Есть,,,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-C2, DVB-S2, DVB-T2 ",NICAM стерео,26 Вт,Есть,Есть,Есть,,4 ,2.1,,,,,,,,,,,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,13 Вт,,5000:1,,11.0,350 кд/м² ,,,60 Гц ,176 °,176 ° ,8 мс,Есть,Есть,Есть,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ultra HD (4K) LED телевизор 65"" Toshiba 65C350LE",49 999 р.,5,16,Китай,1 год,VIDAA,160 Вт,"65"" (165.1 см) ",QLED ,3840x2160 Пикс (4K Ultra HD) ,Есть ,Есть ,Есть ,Голосом ,Есть,,Есть,,Есть,Есть,Есть,400x300 ,Есть,,Есть,Есть,"DVB-C, DVB-S, DVB-T, DVB-S2, DVB-T2 ",DTS Virtual X,,,,,,3 ,2.1,,,,,Есть,Есть ,2,Есть ,Есть,Есть ,,,,,,,,,,,,,,,16:9,"PAL, SECAM",2 ,20 Вт,,,,5.0,,,,60 Гц ,,,,,,Есть,IPS,UHD 4K 1600,,,,,,,,,,,,,,,,,,,,,,,,
